Ocuarb_v01_G000150.t0	Ocuarb_v01_G000150
Ocuarb_v01_G000151.t0	Ocuarb_v01_G000151
Ocuarb_v01_G000152.t0	Ocuarb_v01_G000152
Ocuarb_v01_G000153.t0	Ocuarb_v01_G000153
Ocuarb_v01_G000154.t0	Ocuarb_v01_G000154
Ocuarb_v01_G000155.t0	Ocuarb_v01_G000155
Ocuarb_v01_G000156.t0	Ocuarb_v01_G000156
Ocuarb_v01_G000157.t0	Ocuarb_v01_G000157
Ocuarb_v01_G000158.t0	Ocuarb_v01_G000158
Ocuarb_v01_G000159.t0	Ocuarb_v01_G000159
Ocuarb_v01_G000160.t0	Ocuarb_v01_G000160
Ocuarb_v01_G000162.t0	Ocuarb_v01_G000162
Ocuarb_v01_G000163.t0	Ocuarb_v01_G000163
Ocuarb_v01_G000164.t0	Ocuarb_v01_G000164
Ocuarb_v01_G000165.t0	Ocuarb_v01_G000165
Ocuarb_v01_G000166.t0	Ocuarb_v01_G000166
Ocuarb_v01_G000167.t0	Ocuarb_v01_G000167
Ocuarb_v01_G000168.t0	Ocuarb_v01_G000168
Ocuarb_v01_G000169.t0	Ocuarb_v01_G000169
Ocuarb_v01_G000171.t0	Ocuarb_v01_G000171
Ocuarb_v01_G000172.t0	Ocuarb_v01_G000172
Ocuarb_v01_G000173.t0	Ocuarb_v01_G000173
Ocuarb_v01_G000174.t0	Ocuarb_v01_G000174
Ocuarb_v01_G000175.t0	Ocuarb_v01_G000175
Ocuarb_v01_G000176.t0	Ocuarb_v01_G000176
Ocuarb_v01_G000177.t0	Ocuarb_v01_G000177
Ocuarb_v01_G000178.t0	Ocuarb_v01_G000178
Ocuarb_v01_G000180.t0	Ocuarb_v01_G000180
Ocuarb_v01_G000180.t1	Ocuarb_v01_G000180
Ocuarb_v01_G000181.t0	Ocuarb_v01_G000181
Ocuarb_v01_G000183.t0	Ocuarb_v01_G000183
Ocuarb_v01_G000183.t1	Ocuarb_v01_G000183
Ocuarb_v01_G000184.t0	Ocuarb_v01_G000184
Ocuarb_v01_G000185.t0	Ocuarb_v01_G000185
Ocuarb_v01_G000186.t0	Ocuarb_v01_G000186
Ocuarb_v01_G000186.t1	Ocuarb_v01_G000186
Ocuarb_v01_G000187.t0	Ocuarb_v01_G000187
Ocuarb_v01_G000188.t0	Ocuarb_v01_G000188
Ocuarb_v01_G000192.t0	Ocuarb_v01_G000192
Ocuarb_v01_G000193.t0	Ocuarb_v01_G000193
Ocuarb_v01_G000194.t0	Ocuarb_v01_G000194
Ocuarb_v01_G000195.t0	Ocuarb_v01_G000195
Ocuarb_v01_G000196.t0	Ocuarb_v01_G000196
Ocuarb_v01_G000197.t0	Ocuarb_v01_G000197
Ocuarb_v01_G000198.t0	Ocuarb_v01_G000198
Ocuarb_v01_G000199.t0	Ocuarb_v01_G000199
Ocuarb_v01_G000200.t0	Ocuarb_v01_G000200
Ocuarb_v01_G000201.t0	Ocuarb_v01_G000201
Ocuarb_v01_G000202.t0	Ocuarb_v01_G000202
Ocuarb_v01_G000202.t1	Ocuarb_v01_G000202
Ocuarb_v01_G000203.t0	Ocuarb_v01_G000203
Ocuarb_v01_G000205.t0	Ocuarb_v01_G000205
Ocuarb_v01_G000206.t0	Ocuarb_v01_G000206
Ocuarb_v01_G000207.t0	Ocuarb_v01_G000207
