Xesp_000337-T1	Xesp_000337
Xesp_000338-T1	Xesp_000338
Xesp_000339-T1	Xesp_000339
Xesp_000340-T1	Xesp_000340
Xesp_000341-T1	Xesp_000341
Xesp_000342-T1	Xesp_000342
Xesp_000343-T1	Xesp_000343
Xesp_000344-T1	Xesp_000344
Xesp_000345-T1	Xesp_000345
Xesp_000346-T1	Xesp_000346
Xesp_000347-T1	Xesp_000347
Xesp_000348-T1	Xesp_000348
Xesp_000349-T1	Xesp_000349
Xesp_000350-T1	Xesp_000350
Xesp_000351-T1	Xesp_000351
Xesp_000352-T1	Xesp_000352
Xesp_000353-T1	Xesp_000353
Xesp_000354-T1	Xesp_000354
Xesp_000355-T1	Xesp_000355
Xesp_000356-T1	Xesp_000356
Xesp_000357-T1	Xesp_000357
Xesp_000358-T1	Xesp_000358
Xesp_000359-T1	Xesp_000359
Xesp_000360-T1	Xesp_000360
Xesp_000361-T1	Xesp_000361
Xesp_000362-T1	Xesp_000362
Xesp_000363-T1	Xesp_000363
Xesp_000364-T1	Xesp_000364
Xesp_000365-T1	Xesp_000365
Xesp_000366-T1	Xesp_000366
Xesp_000367-T1	Xesp_000367
Xesp_000368-T1	Xesp_000368
Xesp_000369-T1	Xesp_000369
Xesp_000370-T1	Xesp_000370
Xesp_000371-T1	Xesp_000371
Xesp_000372-T1	Xesp_000372
Xesp_000373-T1	Xesp_000373
Xesp_000374-T1	Xesp_000374
Xesp_000375-T1	Xesp_000375
Xesp_000376-T1	Xesp_000376
Xesp_000377-T1	Xesp_000377
Xesp_000378-T1	Xesp_000378
Xesp_000379-T1	Xesp_000379
Xesp_000380-T1	Xesp_000380
Xesp_000381-T1	Xesp_000381
Xesp_000382-T1	Xesp_000382
Xesp_000383-T1	Xesp_000383
Xesp_000384-T1	Xesp_000384
Xesp_000385-T1	Xesp_000385
Xesp_000386-T1	Xesp_000386
Xesp_000387-T1	Xesp_000387
Xesp_000388-T1	Xesp_000388
Xesp_000389-T1	Xesp_000389
Xesp_000390-T1	Xesp_000390
Xesp_000391-T1	Xesp_000391
Xesp_000392-T1	Xesp_000392
Xesp_000393-T1	Xesp_000393
Xesp_000394-T1	Xesp_000394
Xesp_000395-T1	Xesp_000395
Xesp_000396-T1	Xesp_000396
Xesp_000397-T1	Xesp_000397
Xesp_000398-T1	Xesp_000398
Xesp_000400-T1	Xesp_000400
Xesp_000401-T1	Xesp_000401
Xesp_000402-T1	Xesp_000402
Xesp_000403-T1	Xesp_000403
Xesp_000404-T1	Xesp_000404
Xesp_000405-T1	Xesp_000405
Xesp_000406-T1	Xesp_000406
Xesp_000407-T1	Xesp_000407
Xesp_000408-T1	Xesp_000408
Xesp_000409-T1	Xesp_000409
Xesp_000410-T1	Xesp_000410
