metacell	metacell_annotation	color	metacell_top_cell_type	metacell_ann_cell_type	metacell_top_leiden	metacell_ann_leiden
mc.0126	gastrodermis_muscle_parietal_circular_prog	cornsilk3	gastrodermis_muscle_parietal_circular_prog	gastrodermis_muscle_parietal_circular_prog|0.69;gastrodermis|0.26	lc018	lc018|0.41;lc032|0.27;lc044|0.14;lc010|0.11
mc.0114	gastrodermis_muscle_parietal_circular_prog	cornsilk3	gastrodermis_muscle_parietal_circular_prog	gastrodermis_muscle_parietal_circular_prog|0.98	lc032	lc032|0.77;lc018|0.21
mc.0178	gastrodermis_muscle_parietal_circular_prog	cornsilk3	gastrodermis_muscle_parietal_circular_prog	gastrodermis_muscle_parietal_circular_prog|0.70;gastrodermis|0.30	lc032	lc032|0.48;lc018|0.22;lc010|0.16;lc012|0.08;lc044|0.06
mc.0218	gastrodermis_muscle_parietal_circular_prog	cornsilk3	gastrodermis_muscle_parietal_circular_prog	gastrodermis_muscle_parietal_circular_prog|0.97	lc032	lc032|0.58;lc018|0.39
mc.0039	gastrodermis_muscle_parietal_circular_prog	cornsilk3	gastrodermis_muscle_parietal_circular_prog	gastrodermis_muscle_parietal_circular_prog|0.94;gastrodermis|0.06	lc032	lc032|0.75;lc018|0.19;lc044|0.06
mc.0107	gastrodermis_muscle_parietal_circular_prog	cornsilk3	gastrodermis_muscle_parietal_circular_prog	gastrodermis_muscle_parietal_circular_prog|0.79;gastrodermis|0.09;digestive_filaments_like|0.07	lc032	lc032|0.34;lc018|0.28;lc035|0.17;lc029|0.07
mc.0066	gastrodermis_muscle_parietal_circular_prog	cornsilk3	gastrodermis_muscle_parietal_circular_prog	gastrodermis_muscle_parietal_circular_prog|0.74;digestive_filaments_like|0.22	lc035	lc035|0.71;lc029|0.22
mc.0221	gastrodermis_muscle_parietal_circular_prog	cornsilk3	gastrodermis_muscle_parietal_circular_prog	gastrodermis_muscle_parietal_circular_prog|0.52;digestive_filaments_like|0.30;gastrodermis|0.12	lc035	lc035|0.40;lc029|0.30;lc032|0.08;lc020|0.06
mc.0172	gastrodermis_muscle_parietal_circular_prog	cornsilk3	gastrodermis_muscle_parietal_circular_prog	gastrodermis_muscle_parietal_circular_prog|0.55;gastrodermis|0.19;digestive_filaments_like|0.16;epidermis_like_1|0.11	lc035	lc035|0.55;lc029|0.16;lc006|0.14;lc001|0.09
mc.0074	gastrodermis_muscle_parietal_circular_prog	cornsilk3	gastrodermis_muscle_parietal_circular_prog	gastrodermis_muscle_parietal_circular_prog|0.53;digestive_filaments_like|0.33;gastrodermis|0.10	lc035	lc035|0.50;lc029|0.33;lc006|0.05
mc.0046	gastrodermis_muscle_parietal_circular_prog	cornsilk3	gastrodermis_muscle_parietal_circular_prog	gastrodermis_muscle_parietal_circular_prog|0.62;epidermis_like_1|0.35	lc004	lc004|0.33;lc018|0.30;lc035|0.19;lc032|0.13
mc.0053	muscle	burlywood4	muscle	muscle|0.99	lc009	lc009|0.99
mc.0112	muscle	burlywood4	muscle	muscle|1.00	lc009	lc009|1.00
mc.0117	muscle	burlywood4	muscle	muscle|1.00	lc009	lc009|1.00
mc.0103	muscle	burlywood4	muscle	muscle|1.00	lc009	lc009|1.00
mc.0091	muscle	burlywood4	muscle	muscle|0.91	lc009	lc009|0.91
mc.0082	muscle	burlywood4	muscle	muscle|0.77;gastrodermis|0.14	lc009	lc009|0.77;lc012|0.05
mc.0060	digestive_filaments	pink3	digestive_filaments	digestive_filaments|0.99	lc005	lc005|0.59;lc031|0.40
mc.0068	digestive_filaments	pink3	digestive_filaments	digestive_filaments|0.99	lc005	lc005|0.86;lc031|0.11
mc.0207	digestive_filaments	pink3	digestive_filaments	digestive_filaments|1.00	lc005	lc005|0.78;lc031|0.22
mc.0019	digestive_filaments	pink3	digestive_filaments	digestive_filaments|0.97	lc005	lc005|0.86;lc031|0.11
mc.0130	digestive_filaments	pink3	digestive_filaments	digestive_filaments|0.98	lc005	lc005|0.80;lc031|0.18
mc.0015	digestive_filaments	pink3	digestive_filaments	digestive_filaments|0.93;digestive_filaments_like|0.05	lc005	lc005|0.86;lc031|0.05
